comment
"You are a raving lunatic, you should be punished for what you say!"
"Today I met Paolo, we talked a bit about university."
"This is absolutely wonderful news, thank you for sharing it!"
"Learn to show respect for older people."
"You have to shut up."
"Politics is destroying us, purchasing power is decreasing but nobody cares if we can't make it to the end of the month with our salary anymore."
"You're the biggest joke I've ever seen, what a pathetic excuse of a person."
"I really enjoyed the event yesterday, it was inspiring."
"You're useless to civilization, stay home alone and don't go out. Do it for us!"
"Nigga!"
"I don't give a damn."
"I appreciate your help on the project, it made a big difference."
"I finally finished the book, the ending was incredible."
"Your presentation was clear and well done, congrats!"
"I had a plate of pasta and a mandarin orange for lunch, now I'm going to get a coffee."
"Marco is stupid, he won't be able to do anything in life."
"Marco is incompetent, he won't be able to do anything in life."
"We should buy a new TV, what a pain"
"Humans deserve extinction"
